"20,23.31,21.49,105976,105976,0,A,salida"
"21,27.65,35.76,109064,109122,58,A,salida"
"22,32.04,31.13,112828,112710,-118,B,entrada"
"23,19.62,24.44,116235,116480,245,A,salida"
"24,33.85,86.61,119622,119438,-184,B,entrada"
"25,16.12,38.06,123534,123534,0,A,salida"
"26,39.07,37.35,126620,126620,0,A,salida"
"27,17.66,28.88,130406,130406,0,A,salida"
"28,37.70,20.96,133159,132858,-301,B,entrada"
"29,29.57,29.55,136821,136940,119,A,salida"
"30,31.90,16.81,141227,141043,-184,B,entrada"
"31,18.57,29.14,145064,145064,0,A,salida"
"32,35.40,34.49,148651,148709,58,A,salida"
"33,29.05,17.77,152042,152042,0,A,salida"
"34,38.38,35.26,155421,155179,-242,B,entrada"
"35,28.69,28.78,159390,159510,120,A,salida"
"36,31.11,999.00,162611,162337,-274,B,entrada"
"37,29.45,35.52,165310,165486,176,A,salida"
"38,32.81,29.55,167674,167674,0,A,salida"
"39,31.80,16.50,176950,176892,-58,B,entrada"
"40,29.45,30.60,180703,180822,119,A,salida"
"41,30.24,15.85,183631,183631,0,A,salida"
"42,37.47,38.72,186257,186617,360,A,salida"
"43,33.34,16.17,188177,188177,0,A,salida"
"44,23.89,23.68,191926,191926,0,A,salida"
"45,12.09,8.82,195703,194864,-839,B,entrada"
"46,29.57,16.17,199833,199833,0,A,salida"
"47,36.10,31.90,204574,204516,-58,B,entrada"
"48,27.65,30.34,206894,207012,118,A,salida"
"49,26.96,28.19,210219,209956,-263,B,entrada"
"50,28.21,29.03,212721,212966,245,A,salida"
"51,36.55,16.19,215403,215346,-57,B,entrada"
"52,30.49,31.90,219972,220151,179,A,salida"
"53,33.34,27.73,224215,223919,-296,B,entrada"
"54,24.64,29.57,227543,227661,118,A,salida"
"55,39.41,36.67,230779,230720,-59,B,entrada"
"56,18.66,28.78,233853,233853,0,A,salida"
"57,17.06,15.86,237720,237483,-237,B,entrada"
"58,18.02,29.31,241800,241800,0,A,salida"
"59,20.58,81.21,245801,245619,-182,B,entrada"
"60,17.06,20.00,249372,249489,117,A,salida"
"61,36.77,32.93,252672,252672,0,A,salida"
"62,29.19,32.41,255482,255541,59,A,salida"
"63,35.62,32.67,260575,260337,-238,B,entrada"
"64,22.72,29.55,262632,262689,57,A,salida"
"65,35.86,30.34,266238,266057,-181,B,entrada"
"66,37.01,39.57,268052,268239,187,A,salida"
"67,33.07,38.64,269800,269800,0,A,salida"
"68,18.33,83.47,272914,272672,-242,B,entrada"
"69,29.03,16.93,275222,275222,0,A,salida"
"70,29.05,17.77,278021,277718,-303,B,entrada"
"71,29.19,16.17,280762,280762,0,A,salida"
"72,30.22,16.50,284625,284506,-119,B,entrada"
"73,55.79,33.72,288973,289336,363,A,salida"
"74,36.31,30.08,291643,291399,-244,B,entrada"
"4,17.06,36.44,15277,15638,361,A,salida"
"5,23.31,16.17,19258,19020,-238,B,entrada"
"6,15.80,39.89,23202,23320,118,A,salida"
"7,35.84,57.68,27566,27269,-297,B,entrada"
"8,23.58,29.03,30132,30249,117,A,salida"
"9,29.45,27.05,32994,32630,-364,B,entrada"
"10,25.88,18.40,35682,35682,0,A,salida"
"11,28.66,999.00,39761,39374,-387,B,entrada"
"12,26.19,35.74,43583,43827,244,A,salida"
"13,39.86,24.54,47994,47873,-121,B,entrada"
"14,77.55,27.92,51362,51963,601,A,salida"
"15,39.41,29.55,55809,55631,-178,B,entrada"
"16,29.21,29.55,59298,59545,247,A,salida"
"17,29.03,29.31,63733,63229,-504,B,entrada"
"18,16.74,15.85,69094,69270,176,A,salida"
"19,28.67,29.14,73741,73382,-359,B,entrada"
"20,22.14,22.81,76859,77212,353,A,salida"
"21,37.68,40.58,81389,81330,-59,B,entrada"
"22,15.80,16.17,84881,85063,182,A,salida"
"23,29.19,26.29,88602,88545,-57,B,entrada"
"24,36.08,23.67,91599,91990,391,A,salida"
"25,29.19,23.96,95716,95538,-178,B,entrada"
"26,23.02,21.59,99147,99388,241,A,salida"
"27,25.31,23.10,102582,102406,-176,B,entrada"
"28,11.06,15.85,106215,106582,367,A,salida"
"29,28.49,66.78,110705,110291,-414,B,entrada"
"30,21.52,17.77,113652,113912,260,A,salida"
"31,28.93,28.49,118765,118707,-58,B,entrada"
"32,75.96,22.23,122172,122440,268,A,salida"
"33,36.51,30.58,126799,126799,0,A,salida"
"34,26.19,24.73,128791,128991,200,A,salida"
"35,28.19,26.46,131290,131173,-117,B,entrada"
"36,28.76,30.44,147255,147558,303,A,salida"
"37,30.75,27.61,150862,150569,-293,B,entrada"
"38,24.16,28.49,152864,153043,179,A,salida"
"39,28.76,27.15,156751,156694,-57,B,entrada"
"40,18.02,17.13,159257,159582,325,A,salida"
"41,35.14,36.32,163511,163330,-181,B,entrada"
"42,27.54,36.67,167323,167382,59,A,salida"
"43,36.77,35.28,171552,171315,-237,B,entrada"
"44,26.94,33.70,175302,175421,119,A,salida"
"45,32.04,29.29,179661,179479,-182,B,entrada"
"46,20.58,25.02,183409,183527,118,A,salida"
"47,34.61,29.55,187259,187141,-118,B,entrada"
"48,23.31,30.08,191048,191166,118,A,salida"
"49,38.36,34.75,194583,194524,-59,B,entrada"
"50,28.67,30.58,197691,197810,119,A,salida"
"51,36.31,29.67,200624,200624,0,A,salida"
"52,24.16,23.56,204756,205229,473,A,salida"
"53,36.53,55.89,208832,208712,-120,B,entrada"
"54,72.85,24.25,212556,212965,409,A,salida"
"55,39.74,999.00,217202,216878,-324,B,entrada"
"56,16.76,15.85,221491,221771,280,A,salida"
"57,28.91,25.88,225129,225010,-119,B,entrada"
"58,17.39,22.81,228448,228747,299,A,salida"
"59,37.90,23.96,233117,232999,-118,B,entrada"
"60,29.45,24.83,236875,237259,384,A,salida"
"61,28.95,29.38,241728,241551,-177,B,entrada"
"62,35.14,36.20,249610,250036,426,A,salida"
"63,32.57,76.01,255115,254992,-123,B,entrada"
"64,19.62,26.17,261017,261196,179,A,salida"
"65,29.45,76.37,266563,266503,-60,B,entrada"
"66,29.46,29.81,271862,272186,324,A,salida"
"67,36.08,30.96,277729,277610,-119,B,entrada"
"68,19.93,26.57,283345,283402,57,A,salida"
"69,35.40,32.40,289263,289144,-119,B,entrada"
"70,13.43,15.85,295123,295300,177,A,salida"
"71,27.23,23.39,300100,299862,-238,B,entrada"
"72,16.12,38.28,306398,306748,350,A,salida"
"73,37.82,35.26,311104,310924,-180,B,entrada"
"74,16.12,20.96,317086,317325,239,A,salida"
"75,35.52,29.91,321546,321427,-119,B,entrada"
"76,22.45,16.81,326153,326555,402,A,salida"
"77,28.67,25.88,333301,333185,-116,B,entrada"
"78,69.27,20.65,338738,339048,310,A,salida"
"79,28.93,26.75,342457,342398,-59,B,entrada"
"80,17.08,16.17,345434,345632,198,A,salida"
"81,21.85,100.74,411988,411866,-122,B,entrada"
"82,66.47,15.85,414700,414902,202,A,salida"
"83,24.75,71.29,417076,417015,-61,B,entrada"
"84,30.85,18.93,420709,420709,0,A,salida"
"85,36.53,87.91,423271,423024,-247,B,entrada"
"86,22.35,27.44,425956,425956,0,A,salida"
"87,29.03,23.27,429637,429396,-241,B,entrada"
"88,23.60,25.30,433448,433448,0,A,salida"
"89,32.38,44.61,436318,436137,-181,B,entrada"
"90,37.66,29.14,440010,440337,327,A,salida"
"91,35.86,88.87,442648,442400,-248,B,entrada"
"92,23.89,29.93,446900,447098,198,A,salida"
"93,29.45,25.02,451408,451350,-58,B,entrada"
"94,30.75,29.29,456099,456541,442,A,salida"
"95,29.45,64.72,462800,462611,-189,B,entrada"
"96,35.62,15.85,466674,466674,0,A,salida"
"97,26.65,25.42,471230,471230,0,A,salida"
"98,22.35,29.02,474357,474476,119,A,salida"
"99,36.77,87.53,479354,479293,-61,B,entrada"
"100,46.12,37.11,482232,482352,120,A,salida"
"101,24.64,29.82,488183,487793,-390,B,entrada"
